especie_id,nom_ctf,desc_eng,nom_eng,desc_cat,desc_cas,nom_cat,_id,nom_cas
158,Populus tremula,"This is a deciduous tree with a round crown. It is native to Europe, Central and Western Asia and North Africa. The leaf petiole is flat, elongated and flexible, which means that the leaves tremble in even slight breezes. It blossoms in February and March, with small catkins; the male reddish-grey flowers are woolly and the female flowers are green. It produces brown ovoid capsules that ripen between April and May and disseminate seeds covered in white cottony fibres. In Barcelona, it is planted in streets and squares, as well as in parks and gardens. The 'Pendula' cultivar can also be found.",Aspen,"Arbre caducifoli, de capçada arrodonida, originari d'Europa, del centre i l'oest d'Àsia i el nord d'Àfrica. El pecíol de les fulles és pla, allargat i flexible, per la qual cosa les fulles tremolen amb el ventijol més lleuger. La floració es produeix als mesos de febrer i març, amb flors menudes agrupades, les masculines llanoses i de color gris vermellós, i les femenines de color verd. Els fruits són càpsules ovoides marronoses que maduren entre l'abril i el maig i que disseminen unes llavors envoltades de pèls cotonosos blancs. A Barcelona s'utilitza com a arbrat viari, en places, i en parcs i jardins. Es pot trobar plantada la cultivar 'Pendula'.","Árbol caducifolio, de copa redondeada, originario de Europa, del centro y el oeste de Asia y el norte de África. El peciolo de las hojas es plano, alargado y flexible, por lo que las hojas tiemblan con la brisa más ligera. La floración se produce en los meses de febrero y marzo, con flores pequeñas agrupadas; las masculinas, lanosas y de color gris rojizo, y las femeninas, de color verde. Los frutos son cápsulas ovoides amarronadas que maduran entre abril y mayo y que diseminan unas semillas rodeadas de pelos algodonosos blancos. En Barcelona se utiliza como arbolado viario, en plazas y en parques y jardines. Se puede encontrar plantado el cultivar 'Pendula'.","Trémol,  trèmol",1,"Alamo temblón,  álamo temblón"
2437,Laurus nobilis 'Crispa',"An evergreen shrub or small tree with an ovoid crown, native to the Mediterranean region. It has aromatic leaves. It blossoms between February and April, with small greenish-yellow flowers. It produces black ovoid fruit that ripen in the autumn. In Barcelona, it is planted in parks and gardens and as a street tree.  You can come across the 'Crispa' cultivar, which has undulating leaf margins. Its flowers attract pollinators and its fruit may attract some species of fauna.",Sweet bay,"Arbret o arbust perennifoli, de capçada ovoïdal, originari de la regió mediterrània. Les fulles són aromàtiques. Floreix entre els mesos de febrer i abril, amb flors petites i de color groc verdós. Els fruits són ovoides, de color negre, i maduren a la tardor. A Barcelona es planta en parcs i jardins i com a arbre viari.  Podem trobar la cultivar 'Crispa', que presenta les fulles amb marge ondulat. La seva floració atrau pol·linitzadors i els seus fruits poden atraure algunes espècies de fauna.","Arbolillo o arbusto perennifolio, de copa ovoide, originario de la región mediterránea. Las hojas son aromáticas. Florece entre los meses de febrero y abril, con flores pequeñas y de color amarillo verdoso. Los frutos son ovoides, de color negro, y maduran en otoño. En Barcelona se planta en parques y jardines y como árbol viario.  Podemos encontrar el cultivar 'Crispa', que presenta las hojas con borde ondulado. Su floración atrae polinizadores y sus frutos pueden atraer algunas especies de fauna.",Llorer,2,Laurel
840,Acer negundo,"A deciduous tree with a round, irregular crown, native to North America. It blossoms in March and April, just before the leaves appear. It has tiny greenish-yellow flowers, grouped in inflorescences. It produces brownish-green samaras that appear at the beginning of autumn and remain on the tree for six months. It should not be pruned. In Barcelona, it is found in squares, parks and gardens. It can present invasive behaviour.",Box elder,"Arbre caducifoli, de capçada arrodonida i irregular, originari de l'Amèrica del Nord. La floració es produeix durant els mesos de març i d'abril, just abans que apareguin les fulles, amb unes flors diminutes, de color groc verdós, agrupades en inflorescències. Els fruits són disàmares de color verd marronós, que apareixen al principi de la tardor i es mantenen durant sis mesos. No li convé la poda. A Barcelona es pot trobar en places i parcs i jardins. Pot presentar un comportament invasor.","Árbol caducifolio, de copa redondeada e irregular, originario de Norteamérica. La floración se produce durante los meses de marzo y abril, justo antes de que aparezcan las hojas, con unas flores diminutas, de color amarillo verdoso, agrupadas en inflorescencias. Los frutos son disámaras de color verde amarronado, que aparecen a principios de otoño y se mantienen durante seis meses. No le conviene la poda. En Barcelona se puede encontrar en plazas y parques y jardines. Puede presentar un comportamiento invasor.",Negundo,3,"Arce negundo,  Negundo"
970,Broussonetia papyrifera,"This is a deciduous tree with a round crown. It is native to Eastern Asia. It blossoms between April and May, with insignificant grey and cream male flowers and female flowers that measure 2.5 cm. It produces orange-red globular fruit, which appear in the summer. Its bark fibres are used to make high-quality paper. In Barcelona, it is planted as a street tree and also in parks and gardens.",Paper mulberry,"És un arbre caducifoli, de capçada arrodonida. Originari de l'est d'Àsia. Floreix entre l'abril i el maig, amb flors masculines insignificants, de color gris i crema, i flors femenines de 2,5 centímetres. Els fruits, que apareixen a l'estiu, són globosos i de color vermell ataronjat. De les fibres de l'escorça se'n fa paper d'alta qualitat. Es planta a Barcelona com a arbre viari i en parcs i jardins.","Es un árbol caducifolio, de copa redondeada. Originario del este de Asia. Florece entre abril y mayo, con flores masculinas insignificantes, de color gris y crema, y flores femeninas de 2,5 centímetros. Los frutos, que aparecen en verano, son globosos y de color rojo anaranjado. De las fibras de la corteza se obtiene papel de alta calidad. Se planta en Barcelona como árbol viario y en parques y jardines.",Morera del paper,4,Morera del papel
4943585,Phymosia umbellata,"A sparsely-branched evergreen shrub, native to Mexico. It has hairy stems and large, deep-green leaves, with a rugose texture and veining on the lower side. It blossoms from spring to autumn, with violet, purple or scarlet flowers that have a white base, arranged in groups of three.",Mexican Bush Mallow,"Arbust perenne, poc ramificat, originari de Mèxic. Les tiges són piloses, i les fulles són grans, de color verd intens, amb textura rugosa i nerviacions al revers. Floreix de primavera a tardor, amb flors agrupades en grups de fins a tres, de color violeta, porpre o escarlata, i amb la base de color blanc.","Arbusto perenne, poco ramificado, originario de México. Los tallos son pilosos, y las hojas son grandes, de color verde intenso, con textura rugosa y nervaduras en el reverso. Florece de primavera a otoño, con flores agrupadas en grupos de hasta tres, de color violeta, púrpura o escarlata, y con la base de color blanco.",Fimòsia,5,Fimosia
2165,Casimiroa edulis,"An evergreen tree with a very extensive crown which branches out near the ground. It is native to South America. It can blossom and bear fruit more than once a year. It produces yellowish-green flowers. It bears pale-green globular fruit with a fragrant, creamy pulp.",White sapote,"Arbre perennifoli, amb la capçada molt ampla, que es ramifica a poca alçada. És originari d'Amèrica del Sud. Pot florir i fer fruit més d'un cop l'any. Les flors són de color verd groguenc. El fruit és globós, de color verd pàl·lid i amb la polpa cremosa i perfumada.","Árbol perennifolio, con la copa muy ancha, que se ramifica a poca altura. Es originario de Suramérica. Puede florecer y dar fruto más de una vez al año. Las flores son de color verde amarillento. El fruto es globoso, de color verde pálido y con la pulpa cremosa y perfumada.",Sapote blanc,369,Zapote blanco
1620,Pinus roxburghii,"An evergreen arboreal conifer, native to Southern Asia (the Himalayas). It flowers between February and April, with yellowish-brown male flowers and female flowers forming light-green cones. It produces glossy-brown or greyish-brown pine cones that ripen in the second year. In Barcelona, it is planted as a street tree in boulevards and avenues, as well as in parks and gardens. The dry needles fall abundantly in the summer, covering the ground.",Longleaf Indian pine,"Conífera arbòria perennifòlia, originària del sud d'Àsia (l'Himàlaia). La floració es produeix entre els mesos de febrer i abril, amb flors masculines de color marró groguenc i flors femenines formant cons de color verd clar. Els fruits són pinyes de color bru brillant o bru grisenc que maduren el segon any. A Barcelona s'utilitza com a arbre viari en passeigs i avingudes o com a arbre de parcs i jardins. Les fulles seques cauen en abundància a l'estiu i arriben a cobrir el sòl.","Conífera arbórea perennifolia, originaria del sur de Asia (el Himalaya). La floración se produce entre los meses de febrero y abril, con flores masculinas de color marrón amarillento y flores femeninas que forman conos de color verde claro. Los frutos son piñas de color marrón brillante o pardo grisáceo que maduran el segundo año. En Barcelona se utiliza como árbol viario en paseos y avenidas o como árbol de parques y jardines. Sus hojas secas caen en abundancia en verano y llegan a cubrir el suelo.",Pi de l'Himàlaia,6,Pino de Roxburgh
1219,Cotinus coggygria,"A deciduous shrub or small tree with an extensive, sparse crown, native to Europe. In the autumn, the leaves turn yellow, orange or purplish-red. It blossoms from May to July, with unattractive yellow flowers, accompanied by very attractive long purple filaments. It bears brown, globular fruit which darken as they ripen. It is planted as a street tree and also in parks and gardens.",Smoke tree,"Arbust o arbret caducifoli, amb capçada ampla i poc densa, originari d'Europa. A la tardor les fulles presenten colors grocs, taronges o vermell purpuri. Floreix de maig a juliol, amb flors poc vistoses de color groc, acompanyades d'uns filaments llargs de color porpra molt vistosos. Els fruits són globosos i de color marró, que es van enfosquint en madurar. S'utilitza com a arbre viari, i en parcs i jardins.","Arbusto o árbol pequeño caducifolio, con copa ancha y poco densa, originario de Europa. En otoño las hojas presentan colores amarillos, naranjas o rojo purpúreo. Florece de mayo a julio, con flores poco vistosas de color amarillo, acompañadas de unos filamentos largos de color púrpura muy llamativos. Los frutos son globosos y de color marrón, y se van oscureciendo al madurar. Se utiliza como árbol viario y en parques y jardines.","Arbre de les perruques,  fustet",7,"Árbol de las pelucas,  fustete común"
2330,Ficus elastica 'Decora Rubra',"This is an evergreen tree with a round crown, native to South and South Eastern Asia. It has unremarkable whitish flowers. It produces yellowish-green figs that ripen in the summer in tropical areas. It is widely used as an interior plant. In Barcelona, it is found in squares, parks and gardens. Barcelona has planted the cultivar 'Decora Rubra'.",Evergreen fig,"Arbre perennifoli, de capçada arrodonida, originari del sud i sud-est d'Àsia. Fa flors petites, sense interès, de color blanquinós. Els fruits són figues de color verd groguenc que maduren a l'estiu en zones tropicals. És molt emprat com a planta d'interior. A Barcelona el trobem en places i parcs i jardins. A Barcelona trobem la cultivar 'Decora Rubra'.","Árbol perennifolio, de copa redondeada, originario del sur y sureste de Asia. Sus flores son pequeñas, sin interés, de color blanquecino. Los frutos son higos de color verde amarillento que maduran en verano en zonas tropicales. Es muy utilizado como planta de interior. En Barcelona lo encontramos en plazas y parques y jardines. En Barcelona encontramos el cultivar 'Decora Rubra'.","Arbre del cautxú,  ficus de cautxú",8,"Arbol del Caucho,  árbol del caucho"
2423,Juniperus oxycedrus,"A bushy conifer, native to the Mediterranean region. It has scale-like, lanceolate leaves with two easily distinguishable white stripes. It bears globular berries that turn from green to brownish-red when they ripen. It is used for replanting and in low-maintenance Mediterranean gardens.",Prickly juniper,"Conífera arbustiva, originària de la regió mediterrània. Les fulles són escamoses, lanceolades, amb dues franjes blanques ben distingibles. El fruit són baies globoses, de color verd al principi, i marró vermellós quan maduren. S'utilitza en revegetacions i en jardins mediterranis de baix manteniment.","Conífera arbustiva, originaria de la región mediterránea. Las hojas son escamosas, lanceoladas, con dos franjas blancas bien distinguibles. El fruto son bayas globosas, de color verde al principio y marrón rojizo cuando maduran. Se utiliza en revegetaciones y en jardines mediterráneos de bajo mantenimiento.",Càdec,9,Enebro de la miera
